read_index,elapsed_s,read_duration_s,cps,total_count,spectrum_sum
1,2.1457672119140625e-05,3.028015,53.0,53.0,123
2,10.007091760635376,2.103313,54.0,330.0,389
3,20.015071392059326,2.186459,47.0,439.0,484
4,30.02297353744507,2.270012,53.0,408.0,453
5,40.03079056739807,2.354223,56.0,409.0,460
6,50.03852319717407,2.439139,53.0,389.0,446
7,60.04477119445801,2.525403,61.0,437.0,484
8,70.05232810974121,2.609899,45.0,375.0,415
9,80.05980086326599,2.693611,55.0,396.0,448
10,90.06719183921814,2.778477,37.0,374.0,439
11,100.07449746131897,2.862198,52.0,399.0,461
12,110.08172273635864,2.944477,44.0,404.0,445
13,120.08882212638855,3.028100,42.0,377.0,427
