read_index,elapsed_s,read_duration_s,cps,total_count,spectrum_sum
1,9.059906005859375e-06,3.028067,30.0,30.0,59
2,10.005549669265747,2.105165,31.0,257.0,294
3,20.013488292694092,2.189528,36.0,259.0,303
4,30.02134108543396,2.274002,39.0,297.0,329
5,40.029128313064575,2.355997,38.0,277.0,320
6,50.03356146812439,2.440567,39.0,266.0,304
7,60.04120326042175,2.522143,37.0,306.0,340
8,70.04875946044922,2.604403,31.0,298.0,335
9,80.0562334060669,2.687955,33.0,306.0,331
10,90.06363558769226,2.771741,42.0,294.0,333
11,100.07094597816467,2.853985,46.0,301.0,329
12,110.07817816734314,2.936949,42.0,283.0,317
13,120.08532810211182,3.021200,33.0,293.0,324
