read_index,elapsed_s,read_duration_s,cps,total_count,spectrum_sum
1,1.0013580322265625e-05,3.027787,31.0,31.0,66
2,10.007038831710815,2.101104,36.0,232.0,266
3,20.01500129699707,2.182152,25.0,219.0,246
4,30.022891998291016,2.264078,18.0,198.0,234
5,40.030712842941284,2.345331,38.0,230.0,258
6,50.03844666481018,2.428356,31.0,264.0,288
7,60.046101570129395,2.510621,28.0,241.0,263
8,70.05200910568237,2.594943,29.0,234.0,265
9,80.05603337287903,2.681518,25.0,212.0,238
10,90.06343293190002,2.764763,30.0,244.0,276
11,100.06800889968872,2.850554,27.0,214.0,238
12,110.07523727416992,2.933619,34.0,265.0,294
13,120.08237338066101,3.016935,33.0,241.0,268
