read_index,elapsed_s,read_duration_s,cps,total_count,spectrum_sum
1,8.58306884765625e-06,3.027396,320.0,320.0,639
2,10.007035255432129,2.102118,308.0,2264.0,2562
3,20.014981031417847,2.184621,308.0,2609.0,2928
4,30.020787477493286,2.269434,314.0,2563.0,2909
5,40.02393341064453,2.357255,317.0,2639.0,2997
6,50.02510476112366,2.448376,306.0,2528.0,2859
7,60.02585411071777,2.539119,295.0,2634.0,2972
8,70.02652192115784,2.629554,352.0,2499.0,2812
9,80.03278970718384,2.713901,317.0,2514.0,2839
10,90.04015779495239,2.796527,324.0,2559.0,2883
11,100.04746198654175,2.879739,348.0,2581.0,2905
12,110.05466532707214,2.961553,322.0,2579.0,2928
13,120.06176972389221,2.035813,327.0,2262.0,2582
