read_index,elapsed_s,read_duration_s,cps,total_count,spectrum_sum
1,8.106231689453125e-06,3.026902,107.0,107.0,250
2,10.007072687149048,2.100100,119.0,881.0,996
3,20.012354135513306,2.183262,129.0,974.0,1085
4,30.020248889923096,2.264920,128.0,1021.0,1144
5,40.028053998947144,2.345688,157.0,1059.0,1177
6,50.035786628723145,2.426339,104.0,1001.0,1121
7,60.043436765670776,2.506975,119.0,987.0,1098
8,70.05100560188293,2.589262,136.0,977.0,1119
9,80.05845594406128,2.671835,116.0,1019.0,1144
10,90.06586909294128,2.755831,129.0,1038.0,1158
11,100.0731885433197,2.839335,136.0,1018.0,1141
12,110.08041191101074,2.923165,123.0,994.0,1118
13,120.08757066726685,3.006657,112.0,947.0,1070
