read_index,elapsed_s,read_duration_s,cps,total_count,spectrum_sum
1,7.867813110351562e-06,3.027582,72.0,72.0,138
2,10.008474826812744,2.099770,67.0,429.0,498
3,20.013192892074585,2.185119,70.0,523.0,582
4,30.01715636253357,2.270600,56.0,545.0,602
5,40.021146059036255,2.354996,70.0,574.0,646
6,50.028833627700806,2.436253,71.0,478.0,525
7,60.036444664001465,2.517593,68.0,559.0,629
8,70.04117774963379,2.601292,66.0,526.0,585
9,80.04518914222717,2.685363,70.0,538.0,602
10,90.0525734424591,2.767681,52.0,517.0,583
11,100.05985140800476,2.849819,75.0,546.0,610
12,110.06708335876465,2.932143,56.0,496.0,554
13,120.07320713996887,3.016303,61.0,502.0,565
