time,PM2.5 env,particles 2.5um
1771025430.5736213,2,0
1771025431.575278,2,0
1771025432.5768816,2,0
1771025433.5784707,2,0
1771025434.5808413,2,0
1771025435.5831187,2,0
1771025436.5847266,2,0
1771025437.586314,2,0
1771025438.5878866,2,0
1771025439.5895686,2,0
1771025440.5911636,1,0
1771025441.5935962,1,0
1771025442.5955055,1,0
1771025443.5979555,1,0
1771025444.6003246,1,0
1771025445.602608,1,0
1771025446.60487,1,0
1771025447.6064453,1,0
1771025448.608,1,0
1771025449.610176,2,0
1771025450.6117992,2,0
1771025451.613454,2,0
1771025452.6153615,1,0
1771025453.6177802,1,0
1771025454.620049,1,0
1771025455.622431,1,0
1771025456.6247544,1,0
1771025457.627052,1,0
1771025458.6294434,1,0
1771025459.6319022,1,0
